Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,49.49900% to 50.500%,49.49900% to 50.500%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Label,,
TIME,CH1,CH2
2.94000e-07,-0.04,0.4
2.95000e-07,-0.04,0.2
2.96000e-07,-0.12,0.4
2.97000e-07,-0.12,0.4
2.98000e-07,-0.12,0.4
2.99000e-07,-0.04,0.2
3.00000e-07,-0.04,0.4
3.01000e-07,-0.04,0.4
3.02000e-07,-0.04,0.4
3.03000e-07,-0.04,0.4
3.04000e-07,-0.12,0.4
3.05000e-07,-0.04,0.4
3.06000e-07,-0.12,0.4
3.07000e-07,-0.04,0.4
3.08000e-07,-0.12,0.4
3.09000e-07,-0.04,0.4
3.10000e-07,-0.04,0.4
3.11000e-07,-0.04,0.4
3.12000e-07,-0.04,0.4
3.13000e-07,-0.04,0.4
3.14000e-07,-0.04,0.4
3.15000e-07,-0.04,0.4
3.16000e-07,-0.04,0.4
3.17000e-07,-0.04,0.4
3.18000e-07,-0.12,0.4
3.19000e-07,-0.04,0.4
3.20000e-07,-0.04,0.4
3.21000e-07,-0.12,0.4
3.22000e-07,-0.12,0.4
3.23000e-07,-0.04,0.4
3.24000e-07,-0.04,0.4
3.25000e-07,-0.04,0.4
3.26000e-07,-0.04,0.4
3.27000e-07,-0.04,0.4
3.28000e-07,-0.04,0.4
3.29000e-07,-0.04,0.4
3.30000e-07,-0.12,0.4
3.31000e-07,-0.04,0.4
3.32000e-07,-0.04,0.4
3.33000e-07,-0.04,0.4
3.34000e-07,-0.04,0.4
3.35000e-07,-0.04,0.4
3.36000e-07,-0.12,0.4
3.37000e-07,-0.04,0.4
3.38000e-07,-0.04,0.4
3.39000e-07,-0.04,0.4
3.40000e-07,-0.04,0.4
3.41000e-07,-0.04,0.2
3.42000e-07,-0.12,0.4
3.43000e-07,-0.04,0.4
3.44000e-07,-0.12,0.4
3.45000e-07,-0.04,0.4
3.46000e-07,-0.12,0.4
3.47000e-07,-0.04,0.2
3.48000e-07,-0.12,0.2
3.49000e-07,-0.04,0.4
3.50000e-07,-0.12,0.4
3.51000e-07,-0.04,0.4
3.52000e-07,-0.12,0.4
3.53000e-07,-0.04,0.4
3.54000e-07,-0.12,0.4
3.55000e-07,-0.04,0.4
3.56000e-07,-0.12,0.4
3.57000e-07,-0.04,0.4
3.58000e-07,-0.12,0.4
3.59000e-07,-0.04,0.4
3.60000e-07,-0.12,0.4
3.61000e-07,-0.04,0.2
3.62000e-07,-0.12,0.4
3.63000e-07,-0.04,0.2
3.64000e-07,-0.12,0.4
3.65000e-07,-0.04,0.4
3.66000e-07,-0.04,0.4
3.67000e-07,-0.04,0.4
3.68000e-07,-0.04,0.4
3.69000e-07,-0.04,0.2
3.70000e-07,-0.12,0.2
3.71000e-07,-0.12,0.2
3.72000e-07,-0.12,0.2
3.73000e-07,-0.12,0.2
3.74000e-07,-0.12,0.2
3.75000e-07,-0.04,0
3.76000e-07,-0.04,0
3.77000e-07,-0.04,-0.2
3.78000e-07,-0.04,-0.2
3.79000e-07,-0.04,-0.4
3.80000e-07,-0.12,-0.4
3.81000e-07,-0.04,-0.6
3.82000e-07,-0.12,-0.6
3.83000e-07,-0.04,-0.8
3.84000e-07,-0.12,-0.6
